UseClass,Category,Indicator,CharacteristicNames,Units,valueType,standardType,COLCLC01,COLCLC02a,COUCUC04,COLCLC04a,COLCLC04c,COLCLC04d,COLCLC04e,COLCLC04f,COLCLC05,COLCLC06,COLCLC07a,COLCLC07b,COLCLC08,COLCLC09a,COLCLC09c,COLCLC10,COLCLC11a,COLCLC11b,COLCLC11d,COLCLC11e,COLCLC11f,COLCLC11g,COLCLC11h,COLCLC12a,COLCLC12b,COLCLC13a,COLCLC13b,COLCLC14a,COLCLC14b,COLCLC14c,COLCLC15c,COUCUC03,COUCUC04
Aquatic_Life,Inorganics,Ammonia,"Ammonia;Ammonia as N;Ammonia as NH3;Ammonia-nitrogen;Ammonia-nitrogen as N;Ammonia-nitrogen as NH3;Nitrogen,Ammonia;",mg/l as N,Total,ammonia_calc,"((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp)))"
Aquatic_Life,Inorganics,Chlorine,Chlorine;;;;;;;,mg/l,Total Residual,thirty_day,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Aquatic_Life,Inorganics,Cyanide,Cyanide;;;;;;;,mg/l,Free Available,thirty_day,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Aquatic_Life,Inorganics,Nitrite_N,Nitrite;Nitrite as N;;;;;;,mg/l as N,Dissolved,thirty_day,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Aquatic_Life,Inorganics,Sulfide_H2S,Sulfide;;;;;;;,mg/l,,thirty_day,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Aquatic_Life,Metals,Aluminum,Aluminum;;;;;;;,ug/l,Total,hardness_calc,"ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))"
Aquatic_Life,Metals,Arsenic,Arsenic;Total Recoverable Arsenic;;;;;;,ug/l,Total,thirty_day,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Aquatic_Life,Metals,Cadmium,Cadmium;;;;;;;,ug/l,Dissolved,hardness_calc,1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451),1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)
Aquatic_Life,Metals,Chromium_III,Chromium(III);;;;;;;,ug/l,Dissolved,hardness_calc,exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340),exp(0.819*(log(hardness))-0.5340)
Aquatic_Life,Metals,Chromium_VI,Chromium(VI);;;;;;;,ug/l,Dissolved,thirty_day,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
