UseClass,Category,Indicator,CharacteristicNames,Units,valueType,standardType,COLCLC01,COLCLC02a,COUCUC04,COLCLC04a,COLCLC04c,COLCLC04d,COLCLC04e,COLCLC04f,COLCLC05,COLCLC06,COLCLC07a,COLCLC07b,COLCLC08,COLCLC09a,COLCLC09c,COLCLC10,COLCLC11a,COLCLC11b,COLCLC11d,COLCLC11e,COLCLC11f,COLCLC11g,COLCLC11h,COLCLC12a,COLCLC12b,COLCLC13a,COLCLC13b,COLCLC14a,COLCLC14b,COLCLC14c,COLCLC15c,COUCUC03,COUCUC04
Aquatic_Life,Metals,Copper,Copper;Dissolved Copper;;;;;;,ug/l,Dissolved,hardness_calc,exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428),exp(0.8545*(log(hardness))-1.7428)
Aquatic_Life,Metals,Iron,Iron;Total Recoverable Iron;;;;;;,ug/l,Total,thirty_day,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Aquatic_Life,Metals,Lead,Lead;Dissolved Lead;;;;;;,ug/l,Dissolved,hardness_calc,(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705),(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)
Aquatic_Life,Metals,Manganese,Manganese;Dissolved Manganese;;;;;;,ug/l,Dissolved,hardness_calc,exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743),exp(0.3331*(log(hardness))+5.8743)
Aquatic_Life,Metals,Mercury,Mercury;;;;;;;,ug/l,Total,thirty_day,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Aquatic_Life,Metals,Nickel,Nickel;Dissolved Nickel;;;;;;,ug/l,Dissolved,hardness_calc,exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554),exp(0.846*(log(hardness))+0.0554)
Aquatic_Life,Metals,Selenium,Selenium;;;;;;;,ug/l,Dissolved,thirty_day,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Aquatic_Life,Metals,Silver,Silver;Dissolved Silver;;;;;;,ug/l,Dissolved,hardness_calc,exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-9.06),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-9.06),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-9.06),exp(1.72*(log(hardness))-9.06),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-9.06),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51),exp(1.72*(log(hardness))-10.51)
Aquatic_Life,Metals,Thallium,Thallium;;;;;;;,ug/l,Dissolved,thirty_day,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Aquatic_Life,Metals,Uranium,Uranium;;;;;;;,ug/l,Dissolved,hardness_calc,exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382),exp(1.1021*(log(hardness))+2.2382)
Aquatic_Life,Metals,Zinc,Zinc;Dissolved Zinc;;;;;;,ug/l,Dissolved,hardness_calc,"ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))",0.986*exp(0.9094*(log(hardness))+0.6235),"ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))"
Recreation,Contact,Dissolved_Oxygen,Dissolved oxygen (DO);Oxygen;;;;;;,mg/l,Dissolved,DO,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Recreation,Contact,pH,pH;;;;;;;,Std. Units,,range,"6.5, 9.0","6.5, 9.0","6.5,9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5,9.0","6.5,9.0"
Recreation,Contact,E_coli,Escherichia coli;E. Coli;;;;;;,cfu/100ml,,two_month_geometric_mean,126,126,126,630,126,630,630,630,205,205,126,126,205,126,126,126,205,630,630,630,630,630,205,630,205,205,126,205,126,205,126,126,126
Recreation,Aesthetics,Oil_Grease,"Oil and Grease;Oil and Grease, surface slick/sheen - severity (choice list);Oil slick coverage severity, choice list;Oil slick severity, choice list;Oil and grease -- CWA 304B;;;",code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreation,Aesthetics,Taste_Odor,"Odor severity (choice list);Odor, atmospheric;Odor, Threshold Number;Odor threshold Number;;;;",code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreation,Aesthetics,Turbidity_Color,Turbidity;Turbidity severity;Turbidity severity (choice list);;;;;,code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreation,Aesthetics,Nusiance Plants,Nusiance Plants;;;;;;;,code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreation,Aesthetics,Trash_Debris,"Trash, Debris, Floatables;;;;;;;",code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human_Health,Water_Supply,E_coli,Escherichia coli;;;;;;;,cfu/100ml,,two_month_geometric_mean,630,630,630,630,630,630,,,630,630,630,630,630,,630,630,630,,630,,630,,630,,630,,,630,630,630,630,630,630
Human_Health,Water_Supply,Dissolved_Oxygen,Dissolved oxygen (DO);Oxygen;;;;;;,mg/l,Dissolved,DO,3,3,3,3,3,3,,,3,3,3,3,3,,3,3,3,,3,,3,,3,,3,,,3,3,3,3,3,3
Human_Health,Water_Supply,pH,pH;;;;;;;,Std. Units,,range,"5.0, 9.0","5.0, 9.0","5.0,9.0","5.0, 9.0","5.0, 9.0","5.0, 9.0",,,"5.0, 9.0","5.0, 9.0","5.0, 9.0","5.0, 9.0","5.0, 9.0",,"5.0, 9.0","5.0, 9.0","5.0, 9.0",,"5.0, 9.0",,"5.0, 9.0",,"5.0, 9.0",,"5.0, 9.0",,,"5.0, 9.0","5.0, 9.0","5.0, 9.0","5.0, 9.0","5.0,9.0","5.0,9.0"
Human_Health,Water_Supply,Cyanide,Cyanide;;;;;;;,mg/l,Free Available,one_day,0.2,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,,0.2,,0.2,,0.2,,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2
Human_Health,Water_Supply,Fluoride,Fluoride;;;;;;;,mg/l,Dissolved,one_day,2,2,2,2,2,2,,,2,2,2,2,2,,2,2,2,,2,,2,,2,,2,,,2,2,2,2,2,2
Human_Health,Water_Supply,Nitrate_N,Nitrate;Nitrate as N;;;;;;,mg/l as N,Dissolved,one_day,10,10,10,10,10,10,,,10,10,10,10,10,,10,10,10,,10,,10,,10,,10,,,10,10,10,10,10,10
Human_Health,Water_Supply,Nitrite_N,Nitrite;Nitrite as N;;;;;;,mg/l as N,Dissolved,one_day,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,,1,,1,,1,,1,,,1,1,1,1,1,1
Human_Health,Water_Supply,Sulfide_H2S,Sulfide;;;;;;;,mg/l,Dissolved,thirty_day,0.05,0.05,0.05,0.05,0.05,0.05,,,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,,0.05,,0.05,,0.05,,,0.05,0.05,0.05,0.05,0.05,0.05
Human_Health,Water_Supply,Chloride,Chloride;;;;;;;,mg/l,Dissolved,thirty_day,250,250,250,250,250,250,,,250,250,250,250,250,,250,250,250,,250,,250,,250,,250,,,250,250,250,250,250,250
Human_Health,Water_Supply,Sulfate,Sulfate;;;;;;;,mg/l,Dissolved,thirty_day,250,250,250,250,250,250,,,250,250,250,250,250,,250,250,250,,250,,250,,250,,250,,,250,250,250,250,250,250
Human_Health,Water_Supply,Asbestos,Asbestos;;;;;;;,fibers/L,,one_day,"7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000",,,"7,000,000","7,000,000","7,000,000","7,000,000","7,000,000",,"7,000,000","7,000,000","7,000,000",,"7,000,000",,"7,000,000",,"7,000,000",,"7,000,000",,,"7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000"
Human_Health,Water_Supply,Antimony,Antimony;;;;;;;,ug/l,Total,thirty_day,6,6,6,6,6,6,,,6,6,6,6,6,,6,6,6,,6,,6,,6,,6,,,6,6,6,6,6,6
Human_Health,Water_Supply,Arsenic,"Arsenic;Arsenic, Inorganic;Total Recoverable Arsenic;;;;;",ug/l,Total,thirty_day,10,10,10,10,10,10,,,10,10,10,10,10,,10,10,10,,10,,10,,10,,10,,,10,10,10,10,10,10
Human_Health,Water_Supply,Barium,Barium;;;;;;;,ug/l,Total,thirty_day,490,490,490,490,490,490,,,490,490,490,490,490,,490,490,490,,490,,490,,490,,490,,,490,490,490,490,490,490
Human_Health,Water_Supply,Beryllium,Beryllium;;;;;;;,ug/l,Total,thirty_day,4,4,4,4,4,4,,,4,4,4,4,4,,4,4,4,,4,,4,,4,,4,,,4,4,4,4,4,4
Human_Health,Water_Supply,Cadmium,Cadmium;Total Cadmium;;;;;;,ug/l,Total,one_day,5,5,5,5,5,5,,,5,5,5,5,5,,5,5,5,,5,,5,,5,,5,,,5,5,5,5,5,5
Human_Health,Water_Supply,Chromium_III,Chromium(III);;;;;;;,ug/l,Total,one_day,50,50,50,50,50,50,,,50,50,50,50,50,,50,50,50,,50,,50,,50,,50,,,50,50,50,50,50,50
Human_Health,Water_Supply,Chromium_VI,Chromium(VI);;;;;;;,ug/l,Total,one_day,50,50,50,50,50,50,,,50,50,50,50,50,,50,50,50,,50,,50,,50,,50,,,50,50,50,50,50,50
Human_Health,Water_Supply,Copper,Copper;Total Copper;;;;;;,ug/l,Total,thirty_day,1000,1000,1000,1000,1000,1000,,,1000,1000,1000,1000,1000,,1000,1000,1000,,1000,,1000,,1000,,1000,,,1000,1000,1000,1000,1000,1000
Human_Health,Water_Supply,Iron,Iron;Total Recoverable Iron;;;;;;,ug/l,Dissolved,thirty_day,300,300,300,300,300,300,,,300,300,300,300,300,,300,300,300,,300,,300,,300,,300,,,300,300,300,300,300,300
Human_Health,Water_Supply,Lead,Lead;Dissolved Lead;;;;;;,ug/l,Total,one_day,50,50,50,50,50,50,,,50,50,50,50,50,,50,50,50,,50,,50,,50,,50,,,50,50,50,50,50,50
Human_Health,Water_Supply,Manganese,Manganese;Dissolved Manganese;;;;;;,ug/l,Dissolved,thirty_day,50,50,50,50,50,50,,,50,50,50,50,50,,50,50,50,,50,,50,,50,,50,,,50,50,50,50,50,50
Human_Health,Water_Supply,Mercury,Mercury;;;;;;;,ug/l,Total,one_day,2,2,2,2,2,2,,,2,2,2,2,2,,2,2,2,,2,,2,,2,,2,,,2,2,2,2,2,2
Human_Health,Water_Supply,Molybdenum,Molybdenum;;;;;;;,ug/l,Total,thirty_day,210,210,210,210,210,210,,,210,210,210,210,210,,210,210,210,,210,,210,,210,,210,,,210,210,210,210,210,210
Human_Health,Water_Supply,Nickel,Nickel;Dissolved Nickel;;;;;;,ug/l,Total,thirty_day,100,100,100,100,100,100,,,100,100,100,100,100,,100,100,100,,100,,100,,100,,100,,,100,100,100,100,100,100
Human_Health,Water_Supply,Selenium,Selenium;;;;;;;,ug/l,Total,thirty_day,50,50,50,50,50,50,,,50,50,50,50,50,,50,50,50,,50,,50,,50,,50,,,50,50,50,50,50,50
Human_Health,Water_Supply,Silver,Silver;Dissolved Silver;;;;;;,ug/l,Total,one_day,100,100,100,100,100,100,,,100,100,100,100,100,,100,100,100,,100,,100,,100,,100,,,100,100,100,100,100,100
Human_Health,Water_Supply,Thallium,Thallium;;;;;;;,ug/l,Total,thirty_day,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,,0.5,,0.5,,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5
Human_Health,Water_Supply,Uranium,Uranium;;;;;;;,ug/l,Total,thirty_day,16.8,16.8,16.8,16.8,16.8,16.8,,,16.8,16.8,16.8,16.8,16.8,,16.8,16.8,16.8,,16.8,,16.8,,16.8,,16.8,,,16.8,16.8,16.8,16.8,16.8,16.8
Human_Health,Water_Supply,Zinc,Zinc;Dissolved Zinc;;;;;;,ug/l,Total,thirty_day,5000,5000,5000,5000,5000,5000,,,5000,5000,5000,5000,5000,,5000,5000,5000,,5000,,5000,,5000,,5000,,,5000,5000,5000,5000,5000,5000
Human_Health,Fish_Ingestion,Antimony,Antimony;;;;;;;,ug/l,Total,one_day,640,,640,640,,640,,,640,640,640,640,640,,640,640,640,,640,,640,,640,,640,,,640,640,640,640,640,640
Human_Health,Fish_Ingestion,Arsenic,"Arsenic;Arsenic, Inorganic;;;;;;",ug/l,Total,one_day,7.6,,7.6,7.6,,7.6,,,7.6,7.6,7.6,7.6,7.6,,7.6,7.6,7.6,,7.6,,7.6,,7.6,,7.6,,,7.6,7.6,7.6,7.6,7.6,7.6
Human_Health,Fish_Ingestion,Nickel,Nickel;Dissolved Nickel;;;;;;,ug/l,Total,one_day,4600,,4600,4600,,4600,,,4600,4600,4600,4600,4600,,4600,4600,4600,,4600,,4600,,4600,,4600,,,4600,4600,4600,4600,4600,4600
Human_Health,Fish_Ingestion,Selenium,Selenium;;;;;;;,ug/l,Total,one_day,4200,,4200,4200,,4200,,,4200,4200,4200,4200,4200,,4200,4200,4200,,4200,,4200,,4200,,4200,,,4200,4200,4200,4200,4200,4200
Human_Health,Fish_Ingestion,Thallium,Thallium;;;;;;;,ug/l,Total,one_day,0.47,,0.47,0.47,,0.47,,,0.47,0.47,0.47,0.47,0.47,,0.47,0.47,0.47,,0.47,,0.47,,0.47,,0.47,,,0.47,0.47,0.47,0.47,0.47,0.47
Human_Health,Fish_Ingestion,Zinc,Zinc;Dissolved Zinc;;;;;;,ug/l,Total,one_day,26000,,26000,26000,,26000,,,26000,26000,26000,26000,26000,,26000,26000,26000,,26000,,26000,,26000,,26000,,,26000,26000,26000,26000,26000,26000
Human_Health,Fish_Ingestion,Fish Tissue Advisory,Fish Tissue Advisory;;;;;;;,unitless,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human_Health,Fish_Water,Antimony,Antimony;;;;;;;,ug/l,Total,one_day,5.6,,5.6,5.6,,5.6,,,5.6,5.6,5.6,5.6,5.6,,5.6,5.6,5.6,,5.6,,5.6,,5.6,,5.6,,,5.6,5.6,5.6,5.6,5.6,5.6
Human_Health,Fish_Water,Arsenic,"Arsenic;Arsenic, Inorganic;Total Recoverable Arsenic;;;;;",ug/l,Total,one_day,0.02,,0.02,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,,0.02,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02
Human_Health,Fish_Water,Chromium_VI,Chromium(VI);;;;;;;,ug/l,Total,thirty_day,100,,100,100,,100,,,100,100,100,100,100,,100,100,100,,100,,100,,100,,100,,,100,100,100,100,100,100
