"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",253,"181","CORIVWCH_WQX","0","0","0.77","","2007-09-25","0","0.21","","","5","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",2,"0","USGS-CO","15","40.5","66","","1995-03-26","22.65","58.35","","","250","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",253,"83","CORIVWCH_WQX","0","1.5","31.2","","1996-04-22","0","3.7","","","1000","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",11,"0","USGS-CO","8.3","9.1","12.6","","1991-03-19","8.45","10.8","","","3","FALSE","FALSE","Good"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",12,"1","USGS-CO","0","9","470","","1992-03-17","2.65","55.4","","","630","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",2,"0","USGS-CO","0.1","0.15","0.2","","1995-03-26","0.115","0.185","","","2","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",249,"172","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","0","889","","1998-05-07","0","29.8","","","300","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Lead","ug/l","Total",253,"219","CORIVWCH_WQX","0","0","22.3","","2005-05-23","0","0","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",259,"84","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","11","92","","1994-03-29","0","27.3","","","50","TRUE","FALSE","Concern"
"Human_Health","Water_Supply","Mercury","ug/l","Total",41,"41","21COL001_WQX","","","","","","","","","","2","","","Poor Resolution"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",4,"4","21COL001_WQX","","","","","","","","","","210","","","Poor Resolution"
"Human_Health","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Nitrate_N","mg/l as N","Dissolved",4,"0","USGS-CO","0.1","0.115","0.14","","1995-03-26","0.1045","0.131","","","10","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Nitrite_N","mg/l as N","Dissolved",7,"6","USGS-CO","0","0","0.01","","1994-09-07","0","0.000999999999999997","","","1","FALSE","FALSE","Good"
"Human_Health","Water_Supply","pH","Std. Units","",298,"0","21COL001_WQX,CORIVWCH_WQX","7","8.18","9.7","","2012-04-19","7.82","8.4845","","","5.0, 9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Selenium","ug/l","Total",109,"62","CORIVWCH_WQX","0","0","50.1","","2007-09-25","0","7.24","","","50","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Silver","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Sulfate","mg/l","Dissolved",2,"0","USGS-CO","25","72.5","120","","1995-03-26","39.25","105.75","","","250","FALSE","FALSE","Good"
