"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",96,"0","USGS-CO","7.2","9.7","14.1","","2010-02-16","8.425","11.8","","","6","FALSE","FALSE","Good"
"Aquatic_Life","Physical","pH","Std. Units","",355,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","6.45","8.32","9.28","","2005-05-11","8.1","8.6","-0.00417420814479638","0.0298991289708646","6.5, 9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",20,"0","21COL001","126","823.5","1285","","2004-01-13","509.8","1165.5","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",102,"60","USGS-CO","0","0","4140","","2014-04-16","0","570","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",102,"13","USGS-CO","0","50","5140","","2017-12-28","13.135","169.7","","","110","TRUE","FALSE","Concern"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",127,"127","21COL001,21COL001_WQX","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",51,"32","USGS-CO","0","0","0.005","","2015-12-17","0","0.003","","","0.05","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
