"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",244,"0","USGS-CO","6.6","9.25","13.7","","2011-01-27","8.045","11.6","","","5","FALSE","FALSE","Good"
"Aquatic_Life","Physical","pH","Std. Units","",215,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.57","8.4","9.23","","1999-04-15","8.121","8.71","-0.00918859649122814","0.000577668483215055","6.5, 9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",6,"0","21COL001","661","809.5","1206","","2007-01-09","752.5","944.25","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",87,"41","USGS-CO","0","236","2300","","1998-05-12","0","771","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",92,"14","USGS-CO","0","33.7","940","","1998-05-12","5.2","210.5","","","110","TRUE","FALSE","Good"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",48,"48","21COL001,21COL001_WQX","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",130,"101","USGS-CO","0","0","0.037","","1997-11-04","0","0.003","","","0.05","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",65,"15","CORIVWCH_WQX","0","345","4126","","2003-02-25","0","1589","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",80,"68","USGS-CO,CORIVWCH_WQX","0","0","20","","2007-02-06","0","0.118499999999993","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",168,"151","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","1.4","","2017-09-11","0","0","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",148,"120","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","10","","1991-05-22","0","2.2","","","exp(0.8545*(log(hardness))-1.7428)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",197,"25","CORIVWCH_WQX","0","470","140000","",NA,"11","2519.8","","","1000","TRUE","FALSE","Concern"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",148,"134","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","5.9","","2006-10-03","0","0","0","0.0116249374768025","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",212,"74","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","5","58","","2008-01-03","0","18.21","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",11,"11","21COL001","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",21,"21","USGS-CO,21COL001_WQX","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Poor Resolution"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",245,"121","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0.3","49.3","","2007-10-16","0","0.914","","","4.6","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",74,"74","USGS-CO,21COL001,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-9.06)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",2,"1","21COL001","0","1.5","3","","2003-09-11","0.45","2.55","","","exp(1.1021*(log(hardness))+2.2382)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",167,"110","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","73","","2000-12-05","0","14","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",244,"0","USGS-CO","6.6","9.25","13.7","","2011-01-27","8.045","11.6","","","3","FALSE","FALSE","Good"
"Recreation","Contact","E_coli","cfu/100ml","",2,"0","USGS-CO","11","17.5","24","","2002-09-03","12.95","22.05","","","126","FALSE","FALSE","Good"
"Recreation","Contact","pH","Std. Units","",215,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.57","8.4","9.23","","1999-04-15","8.121","8.71","-0.00918859649122814","0.000577668483215055","6.5, 9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Antimony","ug/l","Total",1,"1","","","","","","","","","","","6","","","Poor Resolution"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",80,"68","USGS-CO,CORIVWCH_WQX","0","0","20","","2007-02-06","0","0.118499999999993","","","10","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","7,000,000","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",2,"1","","0","50","100","","1994-09-03","15","85","","","490","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",3,"3","","","","","","","","","","","4","","","Poor Resolution"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",131,"80","USGS-CO,CORIVWCH_WQX","0","0","1.56","","2017-09-11","0","0.335","","","5","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",264,"0","USGS-CO","12","140","272","","2012-12-10","42.56","193","","","250","TRUE","FALSE","Concern"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",128,"32","CORIVWCH_WQX","0","2.75","36","","1998-05-01","0","7.795","","","1000","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",244,"0","USGS-CO","6.6","9.25","13.7","","2011-01-27","8.045","11.6","","","3","FALSE","FALSE","Good"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",2,"0","USGS-CO","11","17.5","24","","2002-09-03","12.95","22.05","","","630","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",262,"10","USGS-CO","0","0.29","0.6","","1990-08-10","0.2","0.3","","","2","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",213,"76","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","12.8","120","","2007-04-11","0","32.2","0.5","0.00806790062158624","300","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Lead","ug/l","Total",129,"89","CORIVWCH_WQX","0","0","31.6","","1998-05-07","0","5","","","50","FALSE","TRUE","Poor"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",212,"74","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","5","58","","2008-01-03","0","18.21","","","50","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Mercury","ug/l","Total",11,"11","21COL001","","","","","","","","","","2","","","Poor Resolution"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",18,"12","21COL001_WQX","0","0","9.4","","2016-06-08","0","7.45","","","210","FALSE","FALSE","Good"
