"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",301,"198","CORIVWCH_WQX","0","0","1","","2003-10-23","0","0.28","","","5","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",210,"0","USGS-CO","7.3","72.65","162","","2011-12-08","27","112","","","250","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",300,"115","CORIVWCH_WQX","0","1.3","56.2","","2010-09-15","0","3.7","","","1000","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",227,"0","USGS-CO","6.5","9.6","14.4","","1998-01-13","8.2","11.8","","","3","FALSE","FALSE","Good"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",2,"0","USGS-CO","4","4","4","","2002-08-01","4","4","","","630","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",208,"2","USGS-CO","0","0.24","0.4","","1990-08-01","0.1805","0.3","-0.00214285714285714","4.55655406739197e-08","2","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",281,"134","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","14","1840","","1996-05-15","0","47","1.12700534759358","3.25778384990816e-05","300","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Lead","ug/l","Total",301,"271","CORIVWCH_WQX","0","0","18.6","","2008-05-22","0","0","","","50","FALSE","TRUE","Poor"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",279,"47","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","16.3","81","","1996-05-15","0","33.87","-0.522842261904762","4.41070880574657e-06","50","TRUE","FALSE","Concern"
"Human_Health","Water_Supply","Mercury","ug/l","Total",25,"25","21COL001,21COL001_WQX","","","","","","","","","","2","","","Poor Resolution"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",0,"","","","","","","","","","","","210","","","Data Gap"
"Human_Health","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Nitrate_N","mg/l as N","Dissolved",2,"0","USGS-CO","0.024","0.027","0.03","","2002-09-06","0.0249","0.0291","","","10","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Nitrite_N","mg/l as N","Dissolved",3,"3","USGS-CO","","","","","","","","","","1","","","Poor Resolution"
"Human_Health","Water_Supply","pH","Std. Units","",323,"0","21COL001_WQX,CORIVWCH_WQX","7.08","8.12","9.2","","2007-09-25","7.8","8.36","","","5.0,9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Selenium","ug/l","Total",161,"114","CORIVWCH_WQX","0","0","80.4","","2007-12-12","0","4.7","","","50","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Silver","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Sulfate","mg/l","Dissolved",209,"0","USGS-CO","24","76.7","140","","1989-03-23","44.12","97.08","-0.723015873015873","1.0267698558275e-05","250","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Sulfide_H2S","mg/l","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Human_Health","Water_Supply","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.5","","","Data Gap"
"Human_Health","Water_Supply","Uranium","ug/l","Total",0,"","","","","","","","","","","","16.8","","","Data Gap"
"Human_Health","Water_Supply","Zinc","ug/l","Total",301,"106","CORIVWCH_WQX","0","12","275","","1993-04-21","0","38","","","5000","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Antimony","ug/l","Total",0,"","","","","","","","","","","","640","","","Data Gap"
"Human_Health","Fish_Ingestion","Arsenic","ug/l","Total",161,"152","CORIVWCH_WQX","0","0","825","","2008-04-15","0","0","","","7.6","TRUE","FALSE","Good"
"Human_Health","Fish_Ingestion","Nickel","ug/l","Total",0,"","","","","","","","","","","","4600","","","Data Gap"
"Human_Health","Fish_Ingestion","Selenium","ug/l","Total",161,"114","CORIVWCH_WQX","0","0","80.4","","2007-12-12","0","4.7","","","4200","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.47","","","Data Gap"
"Human_Health","Fish_Ingestion","Zinc","ug/l","Total",301,"106","CORIVWCH_WQX","0","12","275","","1993-04-21","0","38","","","26000","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Antimony","ug/l","Total",0,"","","","","","","","","","","","5.6","","","Data Gap"
"Human_Health","Fish_Water","Arsenic","ug/l","Total",161,"152","CORIVWCH_WQX","0","0","825","","2008-04-15","0","0","","","0.02","TRUE","FALSE","Good"
"Human_Health","Fish_Water","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Fish_Water","Copper","ug/l","Total",300,"115","CORIVWCH_WQX","0","1.3","56.2","","2010-09-15","0","3.7","","","1300","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Nickel","ug/l","Total",0,"","","","","","","","","","","","610","","","Data Gap"
"Human_Health","Fish_Water","Selenium","ug/l","Total",161,"114","CORIVWCH_WQX","0","0","80.4","","2007-12-12","0","4.7","","","170","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.24","","","Data Gap"
"Human_Health","Fish_Water","Zinc","ug/l","Total",301,"106","CORIVWCH_WQX","0","12","275","","1993-04-21","0","38","","","7400","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Arsenic","ug/l","Total",161,"152","CORIVWCH_WQX","0","0","825","","2008-04-15","0","0","","","100","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Boron","mg/l","Dissolved",0,"","","","","","","","","","","","0.75","","","Data Gap"
"Agriculture","Water_Supply","Cadmium","ug/l","Total",301,"198","CORIVWCH_WQX","0","0","1","","2003-10-23","0","0.28","","","10","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Copper","ug/l","Total",300,"115","CORIVWCH_WQX","0","1.3","56.2","","2010-09-15","0","3.7","","","200","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Cyanide","mg/l","Dissolved",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Agriculture","Water_Supply","Lead","ug/l","Total",301,"271","CORIVWCH_WQX","0","0","18.6","","2008-05-22","0","0","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Manganese","ug/l","Total",301,"15","CORIVWCH_WQX","0","37","477.7","","2010-09-15","18.6","85","","","200","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Molybdenum","ug/l","Total",0,"","","","","","","","","","","","160","","","Data Gap"
"Agriculture","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","200","","","Data Gap"
"Agriculture","Water_Supply","Nitrate_N","mg/l as N","Dissolved",2,"0","USGS-CO","0.024","0.027","0.03","","2002-09-06","0.0249","0.0291","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Nitrite_N","mg/l as N","Dissolved",3,"3","USGS-CO","","","","","","","","","","10","","","Poor Resolution"
"Agriculture","Water_Supply","Selenium","ug/l","Total",161,"114","CORIVWCH_WQX","0","0","80.4","","2007-12-12","0","4.7","","","20","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Zinc","ug/l","Total",301,"106","CORIVWCH_WQX","0","12","275","","1993-04-21","0","38","","","2000","FALSE","FALSE","Good"
