"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","5.38","","2017-07-14","0","0.0974999999999998","","","5","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",10,"4","CORIVWCH_WQX","0","2.1","6.5","","2017-08-11","0","5.15","","","1000","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",0,"","","","","","","","","","","","2","","","Data Gap"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",33,"8","21COL001,21COL001_WQX,CORIVWCH_WQX","0","13","2400","","2008-04-22","0","26","","","300","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Lead","ug/l","Total",10,"5","CORIVWCH_WQX","0","2.5","6","","2017-08-11","0","5","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",43,"15","21COL001,21COL001_WQX,CORIVWCH_WQX","0","5","230","","2008-04-22","0","17","","","50","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Mercury","ug/l","Total",0,"","","","","","","","","","","","2","","","Data Gap"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",1,"1","21COL001_WQX","","","","","","","","","","210","","","Poor Resolution"
"Human_Health","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Nitrate_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","10","","","Data Gap"
"Human_Health","Water_Supply","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","1","","","Data Gap"
"Human_Health","Water_Supply","pH","Std. Units","",46,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.69","8.45","9.24","","2007-11-06","8.2","8.6025","","","5.0, 9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Selenium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","43.5","","2008-07-16","0","28.2099999999999","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Silver","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Sulfate","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Sulfide_H2S","mg/l","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Human_Health","Water_Supply","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.5","","","Data Gap"
"Human_Health","Water_Supply","Uranium","ug/l","Total",0,"","","","","","","","","","","","16.8","","","Data Gap"
"Human_Health","Water_Supply","Zinc","ug/l","Total",10,"7","CORIVWCH_WQX","0","0","8","","2008-07-16","0","6.6825","","","5000","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Antimony","ug/l","Total",0,"","","","","","","","","","","","640","","","Data Gap"
"Human_Health","Fish_Ingestion","Arsenic","ug/l","Total",10,"6","CORIVWCH_WQX","0","0","13","","2017-07-14","0","8","","","7.6","TRUE","FALSE","Concern"
"Human_Health","Fish_Ingestion","Nickel","ug/l","Total",0,"","","","","","","","","","","","4600","","","Data Gap"
"Human_Health","Fish_Ingestion","Selenium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","43.5","","2008-07-16","0","28.2099999999999","","","4200","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.47","","","Data Gap"
"Human_Health","Fish_Ingestion","Zinc","ug/l","Total",10,"7","CORIVWCH_WQX","0","0","8","","2008-07-16","0","6.6825","","","26000","FALSE","TRUE","Poor"
"Human_Health","Fish_Water","Antimony","ug/l","Total",0,"","","","","","","","","","","","5.6","","","Data Gap"
"Human_Health","Fish_Water","Arsenic","ug/l","Total",10,"6","CORIVWCH_WQX","0","0","13","","2017-07-14","0","8","","","0.02","TRUE","FALSE","Concern"
"Human_Health","Fish_Water","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Fish_Water","Copper","ug/l","Total",10,"4","CORIVWCH_WQX","0","2.1","6.5","","2017-08-11","0","5.15","","","1300","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Nickel","ug/l","Total",0,"","","","","","","","","","","","610","","","Data Gap"
"Human_Health","Fish_Water","Selenium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","43.5","","2008-07-16","0","28.2099999999999","","","170","FALSE","FALSE","Good"
"Human_Health","Fish_Water","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.24","","","Data Gap"
"Human_Health","Fish_Water","Zinc","ug/l","Total",10,"7","CORIVWCH_WQX","0","0","8","","2008-07-16","0","6.6825","","","7400","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Arsenic","ug/l","Total",10,"6","CORIVWCH_WQX","0","0","13","","2017-07-14","0","8","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Boron","mg/l","Dissolved",0,"","","","","","","","","","","","0.75","","","Data Gap"
"Agriculture","Water_Supply","Cadmium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","5.38","","2017-07-14","0","0.0974999999999998","","","10","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Copper","ug/l","Total",10,"4","CORIVWCH_WQX","0","2.1","6.5","","2017-08-11","0","5.15","","","200","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Cyanide","mg/l","Dissolved",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Agriculture","Water_Supply","Lead","ug/l","Total",10,"5","CORIVWCH_WQX","0","2.5","6","","2017-08-11","0","5","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Manganese","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","12.2","","2008-07-16","0","7.86499999999998","","","200","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Molybdenum","ug/l","Total",1,"1","21COL001_WQX","","","","","","","","","","160","","","Poor Resolution"
"Agriculture","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","200","","","Data Gap"
"Agriculture","Water_Supply","Nitrate_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","10","","","Data Gap"
"Agriculture","Water_Supply","Selenium","ug/l","Total",10,"8","CORIVWCH_WQX","0","0","43.5","","2008-07-16","0","28.2099999999999","","","20","TRUE","FALSE","Good"
"Agriculture","Water_Supply","Zinc","ug/l","Total",10,"7","CORIVWCH_WQX","0","0","8","","2008-07-16","0","6.6825","","","2000","FALSE","FALSE","Good"
